1001;Kristiansand kommun;kristiansand.kommune.no
1002;Mandal kommun;mandal.kommune.no
1018;Søgne kommun;sogne.kommune.no
1120;Klepp kommun;klepp.kommune.no
929;Åmli kommun;amli.kommune.no
1121;Time kommun;time.kommune.no
1026;Åseral kommun;aseral.kommune.no
1114;Bjerkreim kommun;bjerkreim.kommune.no
2022;Lebesby kommun;lebesby.kommune.no
1939;Storfjord kommun;storfjord.kommune.no
1920;Lavangen kommun;lavangen.kommune.no
1851;Lødingen kommun;lodingen.kommune.no
1865;Vågan kommun;vagan.kommune.no
1849;Hamarøy kommun;hamaroy.kommune.no
1422;Lærdal kommun;lardal.kommune.no
543;VestreSlidre kommun;vestreslidre.kommune.no
1264;Austrheim kommun;austrheim.kommune.no
1235;Voss kommun;voss.kommune.no
1263;Lindås kommun;lindas.kommune.no
1260;Radøy kommun;radoy.kommune.no
619;Ål kommun;al.kommune.no
540;Sør-Aurdal kommun;sor-aurdal.kommune.no
425;Åsnes kommun;asnes.kommune.no
1246;Fjell kommun;fjell.kommune.no
528;ØstreToten kommun;ostretoten.kommune.no
1242;Samnanger kommun;samnanger.kommune.no
605;Ringerike kommun;ringerike.kommune.no
1241;Fusa kommun;fusa.kommune.no
633;NoreogUvdal kommun;noreoguvdal.kommune.no
418;Nord-Odal kommun;nord-odal.kommune.no
423;Grue kommun;grue.kommune.no
621;Sigdal kommun;sigdal.kommune.no
402;Kongsvinger kommun;kongsvinger.kommune.no
419;Sør-Odal kommun;sor-odal.kommune.no
533;Lunner kommun;lunner.kommune.no
236;Nes kommun;nes.kommune.no
632;Rollag kommun;rollag.kommune.no
623;Modum kommun;modum.kommune.no
234;Gjerdrum kommun;gjerdrum.kommune.no
420;Eidskog kommun;eidskog.kommune.no
226;Sørum kommun;sorum.kommune.no
631;Flesberg kommun;flesberg.kommune.no
1135;Sauda kommun;sauda.kommune.no
231;Skedsmo kommun;skedsmo.kommune.no
1216;Sveio kommun;sveio.kommune.no
221;Aurskog-Høland kommun;aurskog-holand.kommune.no
626;Lier kommun;lier.kommune.no
227;Fet kommun;fet.kommune.no
807;Notodden kommun;notodden.kommune.no
230;Lørenskog kommun;lorenskog.kommune.no
1106;Haugesund kommun;haugesund.kommune.no
216;Nesodden kommun;nesodden.kommune.no
229;Enebakk kommun;enebakk.kommune.no
604;Kongsberg kommun;kongsberg.kommune.no
627;Røyken kommun;royken.kommune.no
122;Trøgstad kommun;trogstad.kommune.no
711;Svelvik kommun;svelvik.kommune.no
628;Hurum kommun;hurum.kommune.no
714;Hof kommun;hof.kommune.no
1141;Finnøy kommun;finnoy.kommune.no
1145;Bokn kommun;bokn.kommune.no
127;Skiptvet kommun;skiptvet.kommune.no
716;Re kommun;re.kommune.no
701;Horten kommun;horten.kommune.no
136;Rygge kommun;rygge.kommune.no
719;Andebu kommun;andebu.kommune.no
1130;Strand kommun;strand.kommune.no
1127;Randaberg kommun;randaberg.kommune.no
722;Nøtterøy kommun;notteroy.kommune.no
1102;Sandnes kommun;sandnes.kommune.no
706;Sandefjord kommun;sandefjord.kommune.no
723;Tjøme kommun;tjome.kommune.no
706;Sandefjord kommun;sandefjord.kommune.no
612;Hole kommun;hole.kommune.no
926;Lillesand kommun;lillesand.kommune.no
1424;Årdal kommun;ardal.kommune.no
1833;Rana kommun;rana.kommune.no
1635;Rennebu kommun;rennebu.kommune.no
514;Lom kommun;lom.kommune.no
1805;Narvik kommun;narvik.kommune.no
2014;Loppa kommun;loppa.kommune.no
1943;Kvænangen kommun;kvanangen.kommune.no
517;Sel kommun;sel.kommune.no
516;Nord-Fron kommun;nord-fron.kommune.no
1449;Stryn kommun;stryn.kommune.no
1445;Gloppen kommun;gloppen.kommune.no
1431;Jølster kommun;jolster.kommune.no
1845;Sørfold kommun;sorfold.kommune.no
1841;Fauske kommun;fauske.kommune.no
513;Skjåk kommun;skjak.kommune.no
1426;Luster kommun;luster.kommune.no
301;Oslo kommun;oslo.kommune.no
101;Halden kommun;halden.kommune.no
1535;Vestnes kommun;vestnes.kommune.no
904;Grimstad kommun;grimstad.kommune.no
417;Stange kommun;stange.kommune.no
237;Eidsvoll kommun;eidsvoll.kommune.no
235;Ullensaker kommun;ullensaker.kommune.no
217;Oppegård kommun;oppegard.kommune.no
1838;Gildeskål kommun;gildeskal.kommune.no
1740;Namsskogan kommun;namsskogan.kommune.no
1751;Nærøy kommun;naroy.kommune.no
1633;Osen kommun;osen.kommune.no
1725;Namdalseid kommun;namdalseid.kommune.no
1622;Agdenes kommun;agdenes.kommune.no
1711;Meråker kommun;meraker.kommune.no
1638;Orkdal kommun;orkdal.kommune.no
1551;Eide kommun;eide.kommune.no
1534;Haram kommun;haram.kommune.no
1543;Nesset kommun;nesset.kommune.no
1545;Midsund kommun;midsund.kommune.no
1640;Røros kommun;roros.kommune.no
1529;Skodje kommun;skodje.kommune.no
1525;Stranda kommun;stranda.kommune.no
439;Folldal kommun;folldal.kommune.no
1443;Eid kommun;eid.kommune.no
544;ØystreSlidre kommun;oystreslidre.kommune.no
1416;Høyanger kommun;hoyanger.kommune.no
1252;Modalen kommun;modalen.kommune.no
1251;Vaksdal kommun;vaksdal.kommune.no
617;Gol kommun;gol.kommune.no
1201;Bergen kommun;bergen.kommune.no
1238;Kvam kommun;kvam.kommune.no
616;Nes kommun;nes.kommune.no
1223;Tysnes kommun;tysnes.kommune.no
233;Nittedal kommun;nittedal.kommune.no
219;Bærum kommun;barum.kommune.no
827;Hjartdal kommun;hjartdal.kommune.no
624;ØvreEiker kommun;ovreeiker.kommune.no
941;Bykle kommun;bykle.kommune.no
215;Frogn kommun;frogn.kommune.no
833;Tokke kommun;tokke.kommune.no
124;Askim kommun;askim.kommune.no
821;Bø kommun;bo.kommune.no
137;Våler kommun;valer.kommune.no
811;Siljan kommun;siljan.kommune.no
830;Nissedal kommun;nissedal.kommune.no
814;Bamble kommun;bamble.kommune.no
815;Kragerø kommun;kragero.kommune.no
1037;Kvinesdal kommun;kvinesdal.kommune.no
1112;Lund kommun;lund.kommune.no
1111;Sokndal kommun;sokndal.kommune.no
1032;Lyngdal kommun;lyngdal.kommune.no
1566;Surnadal kommun;surnadal.kommune.no
1938;Lyngen kommun;lyngen.kommune.no
2028;Båtsfjord kommun;batsfjord.kommune.no
2004;Hammerfest kommun;hammerfest.kommune.no
2002;Vardø kommun;vardo.kommune.no
2003;Vadsø kommun;vadso.kommune.no
2017;Kvalsund kommun;kvalsund.kommune.no
2027;Nesseby kommun;nesseby.kommune.no
1936;Karlsøy kommun;karlsoy.kommune.no
2012;Alta kommun;alta.kommune.no
1902;Tromsø kommun;tromso.kommune.no
1612;Hemne kommun;hemne.kommune.no
1567;Rindal kommun;rindal.kommune.no
1539;Rauma kommun;rauma.kommune.no
1524;Norddal kommun;norddal.kommune.no
512;Lesja kommun;lesja.kommune.no
515;Vågå kommun;vaga.kommune.no
1421;Aurland kommun;aurland.kommune.no
620;Hol kommun;hol.kommune.no
1233;Ulvik kommun;ulvik.kommune.no
1221;Stord kommun;stord.kommune.no
1160;Vindafjord kommun;vindafjord.kommune.no
1832;Hemnes kommun;hemnes.kommune.no
1516;Ulstein kommun;ulstein.kommune.no
1519;Volda kommun;volda.kommune.no
1837;Meløy kommun;meloy.kommune.no
1839;Beiarn kommun;beiarn.kommune.no
2025;Tana kommun;tana.kommune.no
2021;Karasjok kommun;karasjok.kommune.no
1942;Nordreisa kommun;nordreisa.kommune.no
2011;Kautokeino kommun;kautokeino.kommune.no
1836;Rødøy kommun;rodoy.kommune.no
1834;Lurøy kommun;luroy.kommune.no
1738;Lierne kommun;lierne.kommune.no
1736;Snåsa kommun;snasa.kommune.no
1721;Verdal kommun;verdal.kommune.no
1719;Levanger kommun;levanger.kommune.no
1714;Stjørdal kommun;stjordal.kommune.no
1653;Melhus kommun;melhus.kommune.no
1662;Klæbu kommun;klabu.kommune.no
1664;Selbu kommun;selbu.kommune.no
1648;MidtreGauldal kommun;midtregauldal.kommune.no
1557;Gjemnes kommun;gjemnes.kommune.no
1502;Molde kommun;molde.kommune.no
437;Tynset kommun;tynset.kommune.no
436;Tolga kommun;tolga.kommune.no
1563;Sunndal kommun;sunndal.kommune.no
1634;Oppdal kommun;oppdal.kommune.no
1430;Gaular kommun;gaular.kommune.no
1429;Fjaler kommun;fjaler.kommune.no
826;Tinn kommun;tinn.kommune.no
1824;Vefsn kommun;vefsn.kommune.no
1816;Vevelstad kommun;vevelstad.kommune.no
1825;Grane kommun;grane.kommune.no
1813;Brønnøy kommun;bronnoy.kommune.no
1411;Gulen kommun;gulen.kommune.no
1266;Masfjorden kommun;masfjorden.kommune.no
713;Sande kommun;sande.kommune.no
211;Vestby kommun;vestby.kommune.no
702;Holmestrand kommun;holmestrand.kommune.no
104;Moss kommun;moss.kommune.no
704;Tønsberg kommun;tonsberg.kommune.no
720;Stokke kommun;stokke.kommune.no
111;Hvaler kommun;hvaler.kommune.no
1505;Kristiansund kommun;kristiansund.kommune.no
1554;Averøy kommun;averoy.kommune.no
502;Gjøvik kommun;gjovik.kommune.no
